School_ID,District,Block,Urban_Rural,%_Math_Score,%_Language_Score,%_Science_Score,Teacher_Student_Ratio,Avg_Teacher_Experience_Years,Teacher_Trainings_Attended,Electricity_Available,Internet_Available,Functional_Toilets,Library_Available,%_Marginalized_Students,%_Students_With_Home_Internet,Parent_Literacy_Rate
SCH_1,District_C,Block_C1,Rural,43.32,48.87,48.89,40.1,5.7,1,1,0.0,1,0,29.7,5.7,33.9
SCH_2,District_A,Block_A3,Rural,81.98,83.18,83.26,29.75,5.8,1,1,0.0,0,0,36.1,4.0,40.6
SCH_3,District_B,Block_B1,Rural,44.68,46.38,40.19,29.9,7.1,2,1,1.0,0,0,38.9,17.4,47.6
SCH_4,District_A,Block_A1,Urban,44.86,35.2,47.77,24.6,2.6,1,1,1.0,0,0,11.2,35.8,73.3
SCH_5,District_C,Block_C1,Rural,47.41,47.94,50.99,39.8,6.1,1,1,0.0,1,0,33.1,13.6,35.3
SCH_6,District_C,Block_C3,Rural,82.43,88.14,100.0,20.8,6.4,0,1,0.0,1,0,34.4,7.8,49.90759717314488
SCH_7,District_C,Block_C1,Rural,48.16,57.11,50.51,25.7,10.0,2,1,0.0,1,0,46.6,3.0,40.1
SCH_8,District_C,Block_C2,Urban,79.11,79.77,52.89,29.75,6.4,2,1,0.0,1,0,17.1,10.8,59.6
SCH_9,District_A,Block_A1,Urban,61.54,61.07,54.71,30.0,9.9,1,1,0.0,1,1,17.4,22.2,71.6
SCH_10,District_A,Block_A1,Rural,81.04,72.83,82.8,51.9,4.0,0,1,0.0,1,0,29.3,16.5,26.7
SCH_11,District_A,Block_A3,Urban,46.21,61.61,46.08,26.8,11.3,3,1,0.0,1,1,7.7,17.6,40.2
SCH_12,District_C,Block_C1,Rural,69.26,82.0,77.9,38.5,8.7,2,1,0.0,1,0,22.8,19.6,51.2
SCH_13,District_C,Block_C1,Rural,46.99,51.15,35.37,22.3,11.5,4,1,0.0,1,1,32.6,0.0,52.2
SCH_14,District_C,Block_C3,Rural,58.14,67.06,58.07,37.8,12.2,1,1,0.0,1,0,31.6,12.3,32.9
SCH_15,District_C,Block_C3,Rural,60.87,54.73,61.38,35.6,12.3,1,1,0.0,1,0,45.5,15.2,100.0
SCH_17,District_B,Block_B3,Urban,46.6,46.92,62.37,31.3,10.2,0,1,0.0,1,1,7.3,9.7,62.8
SCH_18,District_B,Block_B1,Rural,53.33,42.98,40.44,46.6,6.7,2,1,0.0,0,0,31.8,31.2,60.5
SCH_19,District_A,Block_A3,Rural,49.04,41.8,43.05,48.7,7.9,1,1,0.0,1,0,25.7,8.7,38.0
SCH_20,District_B,Block_B2,Rural,77.45,80.53,69.17,34.6,8.8,0,1,0.0,1,1,29.0,3.8,76.7
SCH_21,District_B,Block_B1,Rural,97.7049414470836,65.43,64.39,23.8,7.2,1,1,0.0,1,0,30.1,19.0,49.6
SCH_22,District_A,Block_A2,Rural,50.55,60.57,61.08,22.9,0.8,4,1,0.0,1,0,22.8,23.1,45.3
SCH_23,District_A,Block_A1,Rural,56.41,66.24,58.62,23.9,15.6,1,1,0.0,1,0,45.7,3.0,44.9
SCH_24,District_B,Block_B1,Rural,74.63,76.45,67.28,26.8,9.7,1,1,0.0,1,0,29.4,5.3,48.5
SCH_25,District_B,Block_B2,Urban,77.32,76.5,70.26,43.6,0.0,1,1,1.0,1,1,35.7,42.7,71.6
SCH_27,District_A,Block_A3,Rural,73.08,77.55,97.22,21.9,4.6,2,1,0.0,0,0,29.0,0.0,50.4
SCH_28,District_B,Block_B3,Rural,46.52,53.46,36.79,48.3,12.7,2,1,0.0,1,0,30.3,0.0,31.5
SCH_29,District_A,Block_A2,Urban,60.08,63.45,57.27,36.2,3.7,2,1,0.0,1,1,18.6,32.4,90.7
SCH_30,District_A,Block_A3,Rural,77.69,81.23,100.0,29.75,7.0,0,1,0.0,1,0,44.7,5.7,39.9
SCH_31,District_B,Block_B3,Urban,75.88,64.81,58.51,10.0,6.9,3,1,0.0,1,0,27.2,13.0,59.2
SCH_32,District_C,Block_C2,Rural,59.91,66.13,74.25,15.6,7.5,0,1,1.0,1,0,34.2,4.9,29.1
SCH_33,District_C,Block_C1,Rural,90.83,91.27,86.58,25.2,4.7,0,1,0.0,1,1,29.4,29.6,45.5
SCH_34,District_C,Block_C1,Urban,67.72,80.36,82.55,23.8,5.1,1,1,0.0,1,1,25.8,38.5,45.2
SCH_35,District_A,Block_A3,Rural,100.0,100.0,98.72,20.4,1.6,1,1,0.0,1,1,37.0,26.9,58.2
SCH_36,District_A,Block_A2,Rural,46.89,49.86,72.12,40.1,6.2,0,1,0.0,1,0,50.8,0.0,53.4
SCH_37,District_A,Block_A1,Urban,53.13,51.12,48.31,25.9,4.7,1,1,1.0,0,1,14.5,33.9,58.7
SCH_38,District_A,Block_A2,Rural,51.35,60.39,60.88,20.2,8.4,2,1,0.0,1,0,42.5,5.4,40.4
SCH_39,District_B,Block_B2,Rural,69.58,59.29,63.77,17.9,5.4,1,1,0.0,1,0,35.5,18.4,28.1
SCH_40,District_C,Block_C2,Rural,49.15,71.62,42.68,29.75,8.7,1,1,0.0,1,1,35.9,4.1,53.8
SCH_41,District_A,Block_A2,Urban,65.92,65.55,68.63,50.8,11.5,3,1,1.0,1,1,16.7,33.3,56.7
SCH_42,District_B,Block_B1,Rural,73.39,77.15,66.42,32.9,8.7,1,1,0.0,1,0,40.7,5.1,51.1
SCH_43,District_C,Block_C2,Rural,72.46,68.61,71.25,25.2,9.9,2,1,1.0,1,0,38.3,5.7,36.7
SCH_44,District_C,Block_C3,Rural,73.04,86.89,84.1,48.8,4.9,2,1,0.0,1,1,22.6,11.8,84.7
SCH_45,District_C,Block_C1,Rural,61.64,70.45,70.85,32.2,4.8,3,0,0.0,1,1,39.7,10.6,61.4
SCH_46,District_C,Block_C3,Rural,51.18,53.11,62.86,24.2,11.4,2,1,0.0,1,0,11.8,7.5,40.9
SCH_47,District_A,Block_A3,Rural,72.07,73.81,83.74,11.6,3.9,2,1,0.0,1,0,40.2,10.1,44.6
SCH_48,District_C,Block_C1,Urban,58.28,62.52,86.1,29.75,13.6,2,1,1.0,1,0,0.0,15.9,48.3
SCH_49,District_A,Block_A2,Rural,54.57,57.01,60.65,22.3,7.6,1,1,1.0,1,0,35.3,15.0,29.2
SCH_50,District_B,Block_B2,Urban,56.4,56.4,63.51,34.4,6.6,2,1,1.0,1,1,31.6,13.3,86.5
SCH_51,District_C,Block_C3,Rural,52.16,63.55,50.81,15.9,1.8,3,1,0.0,1,1,41.1,9.6,61.5
SCH_52,District_C,Block_C1,Rural,54.96,68.73,83.4,36.7,5.5,3,1,0.0,1,1,30.8,0.0,53.3
SCH_53,District_C,Block_C2,Rural,75.44,82.22,81.39,39.8,14.7,2,1,0.0,1,1,45.1,6.5,48.0
SCH_54,District_A,Block_A1,Rural,50.83,42.57,37.47,16.5,4.1,4,1,1.0,1,0,45.5,9.9,35.1
SCH_55,District_A,Block_A2,Rural,77.24,74.61,75.58,47.7,5.5,3,1,0.0,1,1,53.1,9.3,54.3
SCH_57,District_A,Block_A1,Urban,72.28,76.35,78.78,27.9,12.5,3,1,1.0,1,1,19.2,19.6,79.2
SCH_58,District_C,Block_C3,Rural,57.2,56.68,71.41,32.0,12.1,2,1,0.0,1,0,20.1,17.1,45.7
SCH_59,District_B,Block_B1,Rural,52.24,66.52,82.37,26.4,6.2,2,1,0.0,1,1,49.5,0.0,26.9
SCH_60,District_C,Block_C2,Rural,74.76,76.05,74.91,29.75,3.5,4,1,0.0,1,1,38.8,15.6,35.7
SCH_61,District_B,Block_B3,Rural,81.31,79.74,72.2,34.7,5.8,1,1,0.0,1,0,41.3,3.9,39.2
SCH_62,District_B,Block_B1,Rural,68.15,79.82,65.48,31.0,1.0,2,1,0.0,1,1,22.4,9.8,62.8
SCH_63,District_B,Block_B1,Rural,78.08,83.83,94.2,18.7,1.4,8,1,0.0,1,0,39.6,8.3,47.2
SCH_64,District_A,Block_A3,Rural,49.66,56.62,57.32,34.0,7.1,3,1,0.0,1,0,35.0,12.7,39.0
SCH_65,District_C,Block_C3,Rural,58.57,63.8,67.27,31.9,6.2,2,1,0.0,1,1,36.9,13.7,37.1
SCH_66,District_B,Block_B3,Urban,83.48,85.96,79.17,29.75,2.2,1,1,1.0,1,1,0.0,17.2,73.1
SCH_68,District_C,Block_C2,Rural,67.58,70.35,71.66,27.7,10.8,3,1,0.0,1,0,42.2,0.0,44.3
SCH_69,District_B,Block_B1,Urban,49.85,67.26,58.16,15.7,8.5,2,1,1.0,1,1,13.2,54.7,52.6
SCH_70,District_A,Block_A3,Urban,71.79,78.19,65.32,29.5,8.0,3,1,0.0,1,1,8.4,20.0,55.8
SCH_71,District_B,Block_B1,Rural,74.83,82.82,73.89,25.6,9.1,1,0,1.0,1,0,27.0,13.9,55.2
SCH_72,District_A,Block_A1,Rural,75.74,74.46,88.28,29.75,16.3,2,1,0.0,1,0,28.1,0.0,37.1
SCH_73,District_A,Block_A3,Rural,59.63,79.77,86.98,34.4,8.2,2,1,0.0,1,0,36.2,19.3,58.1
SCH_74,District_A,Block_A3,Rural,41.61,32.9,39.5,40.5,14.7,4,1,0.0,1,0,30.4,23.8,56.7
SCH_75,District_B,Block_B3,Urban,67.41,72.5,64.45,23.3,7.9,2,1,1.0,1,1,31.7,33.7,58.7
